City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
150,Queimadas,BR,-10.9783,-39.6264,67.21,96,45,5.1,scattered clouds
151,Faanui,PF,-16.4833,-151.75,81.39,76,38,11.3,scattered clouds
152,Tambun,ID,-6.2641,107.0712,85.46,83,47,2.89,haze
153,Nha Trang,VN,12.25,109.1833,91.4,61,98,3.58,overcast clouds
154,El Castillo,MX,19.5333,-96.85,69.26,87,99,2.04,overcast clouds
155,Alot,IN,23.7667,75.55,84.52,58,15,14.7,few clouds
156,Imeni Poliny Osipenko,RU,52.4201,136.4853,61.59,57,84,5.64,broken clouds
157,Oskaloosa,US,41.2964,-92.6444,81.18,93,47,6.98,scattered clouds
158,Bardiyah,LY,31.7561,25.0865,68.49,77,0,9.6,clear sky
159,Cidreira,BR,-30.1811,-50.2056,62.67,77,100,11.54,overcast clouds
160,Nome,US,64.5011,-165.4064,37.17,86,90,10.36,overcast clouds
161,Pochutla,MX,15.7432,-96.4661,83.25,84,100,5.39,overcast clouds
162,Nikolskoye,RU,59.7035,30.7861,57.09,87,98,3.38,overcast clouds
163,Buala,SB,-8.145,159.5921,84.58,72,60,8.81,light rain
164,Adrar,MR,20.5022,-10.0711,90.19,12,0,17.25,clear sky
165,Port Elizabeth,ZA,-33.918,25.5701,57.49,41,0,9.22,clear sky
166,Pisco,PE,-13.7,-76.2167,63.01,88,20,3.44,few clouds
167,Kaitangata,NZ,-46.2817,169.8464,52.09,68,1,7.78,clear sky
168,Sao Filipe,CV,14.8961,-24.4956,73.76,77,18,8.59,few clouds
169,Olafsvik,IS,64.8945,-23.7142,46.58,88,100,2.33,overcast clouds
170,Siocon,PH,7.7061,122.1353,86.02,62,79,2.04,broken clouds
171,Saint-Joseph,RE,-21.3667,55.6167,70.18,84,96,16.64,light rain
172,Malokaterynivka,UA,47.6525,35.2539,57.92,85,34,3.98,scattered clouds
173,Bataipora,BR,-22.2953,-53.2711,74.44,44,91,2.15,overcast clouds
174,Lamar,US,33.6668,-95.5836,80.26,81,1,7.18,clear sky
175,Alofi,NU,-19.0595,-169.9187,78.69,65,10,6.91,clear sky
176,Dingle,PH,10.9995,122.6711,84.56,67,100,4.29,overcast clouds
177,Bambous Virieux,MU,-20.3428,57.7575,73.65,83,40,16.02,scattered clouds
178,Gidam,IN,18.9833,81.4,85.12,60,53,4.32,broken clouds
